set	gene_id
innatedb_genes	ENSG00000005100
innatedb_genes	ENSG00000174953
innatedb_genes	ENSG00000108771
innatedb_genes	ENSG00000135829
innatedb_genes	ENSG00000100697
innatedb_genes	ENSG00000185559
innatedb_genes	ENSG00000187908
innatedb_genes	ENSG00000087470
innatedb_genes	ENSG00000146094
innatedb_genes	ENSG00000117505
innatedb_genes	ENSG00000137857
innatedb_genes	ENSG00000140279
innatedb_genes	ENSG00000120129
innatedb_genes	ENSG00000143507
innatedb_genes	ENSG00000111266
innatedb_genes	ENSG00000119333
innatedb_genes	ENSG00000101412
innatedb_genes	ENSG00000130159
innatedb_genes	ENSG00000164176
innatedb_genes	ENSG00000078401
innatedb_genes	ENSG00000108883
innatedb_genes	ENSG00000146648
innatedb_genes	ENSG00000269858
innatedb_genes	ENSG00000120738
innatedb_genes	ENSG00000204371
innatedb_genes	ENSG00000055332
innatedb_genes	ENSG00000151247
innatedb_genes	ENSG00000197561
innatedb_genes	ENSG00000066044
innatedb_genes	ENSG00000120690
innatedb_genes	ENSG00000102034
innatedb_genes	ENSG00000179387
innatedb_genes	ENSG00000103363
innatedb_genes	ENSG00000154582
innatedb_genes	ENSG00000134759
innatedb_genes	ENSG00000187266
innatedb_genes	ENSG00000151491
innatedb_genes	ENSG00000164307
innatedb_genes	ENSG00000112851
innatedb_genes	ENSG00000178607
innatedb_genes	ENSG00000134954
innatedb_genes	ENSG00000088926
innatedb_genes	ENSG00000181104
innatedb_genes	ENSG00000164251
innatedb_genes	ENSG00000164220
innatedb_genes	ENSG00000127533
innatedb_genes	ENSG00000168040
innatedb_genes	ENSG00000158169
innatedb_genes	ENSG00000159069
innatedb_genes	ENSG00000150337
innatedb_genes	ENSG00000143226
innatedb_genes	ENSG00000085265
innatedb_genes	ENSG00000160339
innatedb_genes	ENSG00000142748
innatedb_genes	ENSG00000126262
innatedb_genes	ENSG00000140285
innatedb_genes	ENSG00000151702
innatedb_genes	ENSG00000037280
innatedb_genes	ENSG00000125798
innatedb_genes	ENSG00000118689
innatedb_genes	ENSG00000171051
innatedb_genes	ENSG00000171049
innatedb_genes	ENSG00000164946
innatedb_genes	ENSG00000075618
innatedb_genes	ENSG00000163430
innatedb_genes	ENSG00000114416
innatedb_genes	ENSG00000157240
innatedb_genes	ENSG00000145907
innatedb_genes	ENSG00000109458
innatedb_genes	ENSG00000183087
innatedb_genes	ENSG00000136574
innatedb_genes	ENSG00000141448
innatedb_genes	ENSG00000162645
innatedb_genes	ENSG00000152661
innatedb_genes	ENSG00000111087
innatedb_genes	ENSG00000173221
innatedb_genes	ENSG00000114353
innatedb_genes	ENSG00000065135
innatedb_genes	ENSG00000172354
innatedb_genes	ENSG00000047932
innatedb_genes	ENSG00000169347
innatedb_genes	ENSG00000214943
innatedb_genes	ENSG00000160360
innatedb_genes	ENSG00000173020
innatedb_genes	ENSG00000198873
innatedb_genes	ENSG00000030582
innatedb_genes	ENSG00000105723
innatedb_genes	ENSG00000082701
innatedb_genes	ENSG00000084207
innatedb_genes	ENSG00000197540
innatedb_genes	ENSG00000085382
innatedb_genes	ENSG00000105697
innatedb_genes	ENSG00000135077
innatedb_genes	ENSG00000116478
innatedb_genes	ENSG00000163517
innatedb_genes	ENSG00000196591
innatedb_genes	ENSG00000138646
innatedb_genes	ENSG00000100644
innatedb_genes	ENSG00000166135
innatedb_genes	ENSG00000204592
innatedb_genes	ENSG00000189403
innatedb_genes	ENSG00000164104
innatedb_genes	ENSG00000029993
innatedb_genes	ENSG00000198830
innatedb_genes	ENSG00000100292
innatedb_genes	ENSG00000104824
innatedb_genes	ENSG00000078399
innatedb_genes	ENSG00000257017
